 # Plot Location: x =    39.500000000000000     
 # Plot Time: t =    40.000000000000000     
 -10,  -2,  5.373766E-09
  -9,  -2,  1.091491E-07
  -8,  -2,  1.647155E-06
  -7,  -2,  1.817840E-05
  -6,  -2,  1.435651E-04
  -5,  -2,  7.975982E-04
  -4,  -2,  3.109569E-03
  -3,  -2,  8.639601E-03
  -2,  -2,  1.755284E-02
  -1,  -2,  2.661378E-02
   0,  -2,  3.026521E-02
   1,  -2,  2.563435E-02
   2,  -2,  1.614554E-02
   3,  -2,  7.558922E-03
   4,  -2,  2.630378E-03
   5,  -2,  6.803694E-04
   6,  -2,  1.308207E-04
   7,  -2,  1.870075E-05
   8,  -2,  1.987651E-06
   9,  -2,  1.570964E-07
  10,  -2,  9.233737E-09
 -10,  -1,  8.556723E-09
  -9,  -1,  1.752524E-07
  -8,  -1,  2.672273E-06
  -7,  -1,  2.977213E-05
  -6,  -1,  2.362855E-04
  -5,  -1,  1.310038E-03
  -4,  -1,  5.061630E-03
  -3,  -1,  1.388098E-02
  -2,  -1,  2.786070E-02
  -1,  -1,  4.191943E-02
   0,  -1,  4.750610E-02
   1,  -1,  4.018770E-02
   2,  -1,  2.529340E-02
   3,  -1,  1.183575E-02
   4,  -1,  4.117080E-03
   5,  -1,  1.064595E-03
   6,  -1,  2.046477E-04
   7,  -1,  2.924796E-05
   8,  -1,  3.108097E-06
   9,  -1,  2.456106E-07
  10,  -1,  1.443418E-08
 -10,   0,  9.995976E-09
  -9,   0,  2.053717E-07
  -8,   0,  3.143696E-06
  -7,   0,  3.514698E-05
  -6,   0,  2.794425E-04
  -5,   0,  1.548120E-03
  -4,   0,  5.961644E-03
  -3,   0,  1.627027E-02
  -2,   0,  3.250925E-02
  -1,   0,  4.877664E-02
   0,   0,  5.521021E-02
   1,   0,  4.668567E-02
   2,   0,  2.937596E-02
   3,   0,  1.374383E-02
   4,   0,  4.780204E-03
   5,   0,  1.235941E-03
   6,   0,  2.375658E-04
   7,   0,  3.395012E-05
   8,   0,  3.607554E-06
   9,   0,  2.850630E-07
  10,   0,  1.675189E-08
 -10,   1,  8.556723E-09
  -9,   1,  1.752524E-07
  -8,   1,  2.672273E-06
  -7,   1,  2.977213E-05
  -6,   1,  2.362855E-04
  -5,   1,  1.310038E-03
  -4,   1,  5.061630E-03
  -3,   1,  1.388098E-02
  -2,   1,  2.786070E-02
  -1,   1,  4.191943E-02
   0,   1,  4.750610E-02
   1,   1,  4.018770E-02
   2,   1,  2.529340E-02
   3,   1,  1.183575E-02
   4,   1,  4.117080E-03
   5,   1,  1.064595E-03
   6,   1,  2.046477E-04
   7,   1,  2.924796E-05
   8,   1,  3.108097E-06
   9,   1,  2.456106E-07
  10,   1,  1.443418E-08
 -10,   2,  5.373766E-09
  -9,   2,  1.091491E-07
  -8,   2,  1.647155E-06
  -7,   2,  1.817840E-05
  -6,   2,  1.435651E-04
  -5,   2,  7.975982E-04
  -4,   2,  3.109569E-03
  -3,   2,  8.639601E-03
  -2,   2,  1.755284E-02
  -1,   2,  2.661378E-02
   0,   2,  3.026521E-02
   1,   2,  2.563435E-02
   2,   2,  1.614554E-02
   3,   2,  7.558922E-03
   4,   2,  2.630378E-03
   5,   2,  6.803694E-04
   6,   2,  1.308207E-04
   7,   2,  1.870075E-05
   8,   2,  1.987651E-06
   9,   2,  1.570964E-07
  10,   2,  9.233737E-09
 -10,   3,  2.483158E-09
  -9,   3,  4.988792E-08
  -8,   3,  7.426071E-07
  -7,   3,  8.092027E-06
  -6,   3,  6.347596E-05
  -5,   3,  3.535885E-04
  -4,   3,  1.395321E-03
  -3,   3,  3.945232E-03
  -2,   3,  8.148167E-03
  -1,   3,  1.248797E-02
   0,   3,  1.427624E-02
   1,   3,  1.211636E-02
   2,   3,  7.640631E-03
   3,   3,  3.580148E-03
   4,   3,  1.246620E-03
   5,   3,  3.226114E-04
   6,   3,  6.205741E-05
   7,   3,  8.874267E-06
   8,   3,  9.435199E-07
   9,   3,  7.459324E-08
  10,   3,  4.385521E-09
 -10,   4,  8.468951E-10
  -9,   4,  1.683083E-08
  -8,   4,  2.471646E-07
  -7,   4,  2.659178E-06
  -6,   4,  2.071432E-05
  -5,   4,  1.156821E-04
  -4,   4,  4.621059E-04
  -3,   4,  1.330005E-03
  -2,   4,  2.794041E-03
  -1,   4,  4.333335E-03
   0,   4,  4.986284E-03
   1,   4,  4.243700E-03
   2,   4,  2.680636E-03
   3,   4,  1.257536E-03
   4,   4,  4.382664E-04
   5,   4,  1.134987E-04
   6,   4,  2.184542E-05
   7,   4,  3.125492E-06
   8,   4,  3.324522E-07
   9,   4,  2.629354E-08
  10,   4,  1.546413E-09
 -10,   5,  2.136384E-10
  -9,   5,  4.207136E-09
  -8,   5,  6.109870E-08
  -7,   5,  6.504912E-07
  -6,   5,  5.037703E-06
  -5,   5,  2.819126E-05
  -4,   5,  1.137680E-04
  -3,   5,  3.324419E-04
  -2,   5,  7.090727E-04
  -1,   5,  1.112555E-03
   0,   5,  1.289598E-03
   1,   5,  1.101394E-03
   2,   5,  6.972361E-04
   3,   5,  3.275816E-04
   4,   5,  1.142965E-04
   5,   5,  2.962656E-05
   6,   5,  5.706627E-06
   7,   5,  8.169950E-07
   8,   5,  8.695160E-08
   9,   5,  6.880468E-09
  10,   5,  4.048491E-10
 -10,   6,  3.990063E-11
  -9,   6,  7.802295E-10
  -8,   6,  1.123871E-08
  -7,   6,  1.187567E-07
  -6,   6,  9.158991E-07
  -5,   6,  5.133380E-06
  -4,   6,  2.087522E-05
  -3,   6,  6.172045E-05
  -2,   6,  1.333108E-04
  -1,   6,  2.114240E-04
   0,   6,  2.469836E-04
   1,   6,  2.118214E-04
   2,   6,  1.344489E-04
   3,   6,  6.328501E-05
   4,   6,  2.211166E-05
   5,   6,  5.737908E-06
   6,   6,  1.106252E-06
   7,   6,  1.585037E-07
   8,   6,  1.688107E-08
   9,   6,  1.336627E-09
  10,   6,  7.869159E-11
 -10,   7,  5.518998E-12
  -9,   7,  1.073440E-10
  -8,   7,  1.537330E-09
  -7,   7,  1.616288E-08
  -6,   7,  1.243269E-07
  -5,   7,  6.977135E-07
  -4,   7,  2.853254E-06
  -3,   7,  8.511501E-06
  -2,   7,  1.857382E-05
  -1,   7,  2.974628E-05
   0,   7,  3.503016E-05
   1,   7,  3.018769E-05
   2,   7,  1.922082E-05
   3,   7,  9.067072E-06
   4,   7,  3.173264E-06
   5,   7,  8.245404E-07
   6,   7,  1.591436E-07
   7,   7,  2.282351E-08
   8,   7,  2.432771E-09
   9,   7,  1.927659E-10
  10,   7,  1.135627E-11
 -10,   8,  5.654076E-13
  -9,   8,  1.095129E-11
  -8,   8,  1.561898E-10
  -7,   8,  1.636598E-09
  -6,   8,  1.256938E-08
  -5,   8,  7.062322E-08
  -4,   8,  2.900596E-07
  -3,   8,  8.713424E-07
  -2,   8,  1.917849E-06
  -1,   8,  3.099094E-06
   0,   8,  3.679594E-06
   1,   8,  3.188069E-06
   2,   8,  2.037168E-06
   3,   8,  9.634326E-07
   4,   8,  3.378251E-07
   5,   8,  8.791456E-08
   6,   8,  1.698983E-08
   7,   8,  2.439239E-09
   8,   8,  2.602475E-10
   9,   8,  2.063877E-11
  10,   8,  1.216804E-12
 -10,   9,  4.290745E-14
  -9,   9,  8.282516E-13
  -8,   9,  1.177579E-11
  -7,   9,  1.231021E-10
  -6,   9,  9.446260E-10
  -5,   9,  5.313955E-09
  -4,   9,  2.190352E-08
  -3,   9,  6.618113E-08
  -2,   9,  1.467553E-07
  -1,   9,  2.391225E-07
   0,   9,  2.862626E-07
   1,   9,  2.494988E-07
   2,   9,  1.600755E-07
   3,   9,  7.592196E-08
   4,   9,  2.667982E-08
   5,   9,  6.955135E-09
   6,   9,  1.346045E-09
   7,   9,  1.934911E-10
   8,   9,  2.066629E-11
   9,   9,  1.640504E-12
  10,   9,  9.680321E-14
 -10,  10,  2.412362E-15
  -9,  10,  4.643389E-14
  -8,  10,  6.585501E-13
  -7,  10,  6.872720E-12
  -6,  10,  5.271444E-11
  -5,  10,  2.969069E-10
  -4,  10,  1.227672E-09
  -3,  10,  3.728131E-09
  -2,  10,  8.322171E-09
  -1,  10,  1.366597E-08
   0,  10,  1.649525E-08
   1,  10,  1.446964E-08
   2,  10,  9.325440E-09
   3,  10,  4.437206E-09
   4,  10,  1.563092E-09
   5,  10,  4.082745E-10
   6,  10,  7.914214E-11
   7,  10,  1.139224E-11
   8,  10,  1.218249E-12
   9,  10,  9.680946E-14
  10,  10,  5.718080E-15
