#alpha(x) =  0.500  beta(v) =  0.700  delta (t) = 0.050#Free stream: density =  1.000  velocity = -1.000  temperature =  1.000  #Execution time =   137.28 s
#vxmax=   7.00  vxmin=  -7.00  vymax=   7.00  vymin=  -7.00  vzmax=   7.00  vzmin=  -7.00
x, t=      0.0, t=      5.0, t=     10.0, t=     15.0, t=     20.0, t=     25.0, t=     30.0, t=     35.0, t=     40.0, t=     45.0, t=     50.0,
  0.000000E+00,     1.470662E-09,    -3.465557E-02,    -3.168382E-03,    -3.672189E-04,    -8.121595E-05,    -4.936458E-05,    -3.943809E-05,    -3.038238E-05,    -2.218535E-05,    -1.556582E-05,    -1.059079E-05,
  5.000000E-01,     1.470662E-09,    -3.755565E-02,    -3.321704E-03,    -3.820137E-04,    -8.299523E-05,    -4.958958E-05,    -3.944152E-05,    -3.034211E-05,    -2.213043E-05,    -1.550448E-05,    -1.052753E-05,
  1.000000E+00,     1.470662E-09,    -4.423584E-02,    -3.728400E-03,    -4.248594E-04,    -8.983217E-05,    -5.142525E-05,    -4.023240E-05,    -3.077901E-05,    -2.239610E-05,    -1.567188E-05,    -1.063435E-05,
  1.500000E+00,     1.470662E-09,    -5.512043E-02,    -4.407652E-03,    -4.966177E-04,    -1.015291E-04,    -5.469661E-05,    -4.169493E-05,    -3.161328E-05,    -2.292366E-05,    -1.602250E-05,    -1.087464E-05,
  2.000000E+00,     1.470662E-09,    -7.079360E-02,    -5.394380E-03,    -5.992894E-04,    -1.180329E-04,    -5.927713E-05,    -4.374493E-05,    -3.278990E-05,    -2.367465E-05,    -1.652771E-05,    -1.122610E-05,
  2.500000E+00,     1.470662E-09,    -9.184048E-02,    -6.742155E-03,    -7.361810E-04,    -1.394183E-04,    -6.506616E-05,    -4.631274E-05,    -3.426558E-05,    -2.462065E-05,    -1.716754E-05,    -1.167388E-05,
  3.000000E+00,     1.470662E-09,    -1.185650E-01,    -8.526793E-03,    -9.121836E-04,    -1.658985E-04,    -7.197978E-05,    -4.933441E-05,    -3.600178E-05,    -2.573769E-05,    -1.792608E-05,    -1.220673E-05,
  3.500000E+00,     1.470662E-09,    -1.505830E-01,    -1.085058E-02,    -1.134154E-03,    -1.978565E-04,    -7.994986E-05,    -5.274800E-05,    -3.796131E-05,    -2.700339E-05,    -1.878908E-05,    -1.281509E-05,
  4.000000E+00,     1.470662E-09,    -1.863503E-01,    -1.384691E-02,    -1.411398E-03,    -2.358912E-04,    -8.892818E-05,    -5.649265E-05,    -4.010676E-05,    -2.839550E-05,    -1.974273E-05,    -1.348990E-05,
  4.500000E+00,     1.470662E-09,    -2.227984E-01,    -1.768501E-02,    -1.756266E-03,    -2.808763E-04,    -9.889399E-05,    -6.050944E-05,    -4.240030E-05,    -2.989140E-05,    -2.077309E-05,    -1.422218E-05,
  5.000000E+00,     1.470662E-09,    -2.553894E-01,    -2.257405E-02,    -2.184879E-03,    -3.340323E-04,    -1.098638E-04,    -6.474328E-05,    -4.480394E-05,    -3.146801E-05,    -2.186589E-05,    -1.500275E-05,
  5.500000E+00,     1.470662E-09,    -2.789053E-01,    -2.876528E-02,    -2.718004E-03,    -3.970119E-04,    -1.219031E-04,    -6.914532E-05,    -4.728027E-05,    -3.310207E-05,    -2.300660E-05,    -1.582223E-05,
  6.000000E+00,     1.470662E-09,    -2.889847E-01,    -3.655027E-02,    -3.382124E-03,    -4.720011E-04,    -1.351392E-04,    -7.367573E-05,    -4.979339E-05,    -3.477043E-05,    -2.418059E-05,    -1.667109E-05,
  6.500000E+00,     1.470662E-09,    -2.837985E-01,    -4.625170E-02,    -4.210725E-03,    -5.618400E-04,    -1.497764E-04,    -7.830667E-05,    -5.230987E-05,    -3.645056E-05,    -2.537329E-05,    -1.753975E-05,
  7.000000E+00,     1.470662E-09,    -2.648456E-01,    -5.820176E-02,    -5.245852E-03,    -6.701684E-04,    -1.661120E-04,    -8.302526E-05,    -5.479971E-05,    -3.812093E-05,    -2.657051E-05,    -1.841874E-05,
  7.500000E+00,     1.470662E-09,    -2.362681E-01,    -7.270129E-02,    -6.539959E-03,    -8.016020E-04,    -1.845555E-04,    -8.783676E-05,    -5.723735E-05,    -3.976154E-05,    -2.775862E-05,    -1.929880E-05,
  8.000000E+00,     1.470662E-09,    -2.031452E-01,    -8.995188E-02,    -8.158093E-03,    -9.619482E-04,    -2.056501E-04,    -9.276773E-05,    -5.960251E-05,    -4.135425E-05,    -2.892481E-05,    -2.017108E-05,
  8.500000E+00,     1.470662E-09,    -1.698619E-01,    -1.099542E-01,    -1.018040E-02,    -1.158472E-03,    -2.300988E-04,    -9.786940E-05,    -6.188103E-05,    -4.288320E-05,    -3.005734E-05,    -2.102723E-05,
  9.000000E+00,     1.470662E-09,    -1.392957E-01,    -1.323737E-01,    -1.270494E-02,    -1.400221E-03,    -2.587947E-04,    -1.032213E-04,    -6.406559E-05,    -4.433510E-05,    -3.114564E-05,    -2.185955E-05,
  9.500000E+00,     1.470662E-09,    -1.128232E-01,    -1.563910E-01,    -1.585062E-02,    -1.698431E-03,    -2.928592E-04,    -1.089354E-04,    -6.615642E-05,    -4.569952E-05,    -3.218057E-05,    -2.266108E-05,
  1.000000E+01,     1.470662E-09,    -9.074220E-02,    -1.805845E-01,    -1.976003E-02,    -2.067021E-03,    -3.336869E-04,    -1.151606E-04,    -6.816192E-05,    -4.696902E-05,    -3.315448E-05,    -2.342569E-05,
  1.050000E+01,     1.470662E-09,    -7.274480E-02,    -2.029260E-01,    -2.460169E-02,    -2.523204E-03,    -3.830032E-04,    -1.220883E-04,    -7.009930E-05,    -4.813938E-05,    -3.406129E-05,    -2.414819E-05,
  1.100000E+01,     1.470662E-09,    -5.826994E-02,    -2.209814E-01,    -3.057071E-02,    -3.088237E-03,    -4.429334E-04,    -1.299593E-04,    -7.199523E-05,    -4.920964E-05,    -3.489660E-05,    -2.482431E-05,
  1.150000E+01,     1.470662E-09,    -4.670948E-02,    -2.323645E-01,    -3.788655E-02,    -3.788329E-03,    -5.160896E-04,    -1.390715E-04,    -7.388656E-05,    -5.018216E-05,    -3.565767E-05,    -2.545079E-05,
  1.200000E+01,     1.470662E-09,    -3.750473E-02,    -2.353592E-01,    -4.678567E-02,    -4.655750E-03,    -6.056780E-04,    -1.497904E-04,    -7.582122E-05,    -5.106270E-05,    -3.634343E-05,    -2.602535E-05,
  1.250000E+01,     1.470662E-09,    -3.017897E-02,    -2.294735E-01,    -5.750569E-02,    -5.730155E-03,    -7.156317E-04,    -1.625616E-04,    -7.785923E-05,    -5.186035E-05,    -3.695444E-05,    -2.654672E-05,
  1.300000E+01,     1.470662E-09,    -2.433985E-02,    -2.156374E-01,    -7.025714E-02,    -7.060156E-03,    -8.507747E-04,    -1.779263E-04,    -8.007413E-05,    -5.258761E-05,    -3.749283E-05,    -2.701459E-05,
  1.350000E+01,     1.470662E-09,    -1.967115E-02,    -1.959137E-01,    -8.517760E-02,    -8.705164E-03,    -1.017025E-03,    -1.965406E-04,    -8.255463E-05,    -5.326037E-05,    -3.796224E-05,    -2.742958E-05,
  1.400000E+01,     1.470662E-09,    -1.592217E-02,    -1.728695E-01,    -1.022645E-01,    -1.073749E-02,    -1.221643E-03,    -2.192001E-04,    -8.540686E-05,    -5.389801E-05,    -3.836774E-05,    -2.779316E-05,
  1.450000E+01,     1.470662E-09,    -1.289728E-02,    -1.489223E-01,    -1.212864E-01,    -1.324465E-02,    -1.473541E-03,    -2.468693E-04,    -8.875717E-05,    -5.452348E-05,    -3.871570E-05,    -2.810765E-05,
  1.500000E+01,     1.470662E-09,    -1.044584E-02,    -1.259179E-01,    -1.416818E-01,    -1.633183E-02,    -1.783659E-03,    -2.807187E-04,    -9.275571E-05,    -5.516352E-05,    -3.901373E-05,    -2.837607E-05,
  1.550000E+01,     1.470662E-09,    -8.452597E-03,    -1.050053E-01,    -1.624712E-01,    -2.012416E-02,    -2.165429E-03,    -3.221706E-04,    -9.758091E-05,    -5.584895E-05,    -3.927062E-05,    -2.860212E-05,
  1.600000E+01,     1.470662E-09,    -6.828969E-03,    -8.672289E-02,    -1.822279E-01,    -2.476855E-02,    -2.635334E-03,    -3.729551E-04,    -1.034451E-04,    -5.661510E-05,    -3.949620E-05,    -2.879009E-05,
  1.650000E+01,     1.470662E-09,    -5.505794E-03,    -7.117299E-02,    -1.991663E-01,    -3.043419E-02,    -3.213603E-03,    -4.351799E-04,    -1.106017E-04,    -5.750243E-05,    -3.970133E-05,    -2.894474E-05,
  1.700000E+01,     1.470662E-09,    -4.427956E-03,    -5.819580E-02,    -2.113918E-01,    -3.731082E-02,    -3.925041E-03,    -5.114146E-04,    -1.193535E-04,    -5.855731E-05,    -3.989789E-05,    -2.907128E-05,
  1.750000E+01,     1.470662E-09,    -3.550760E-03,    -4.750270E-02,    -2.172977E-01,    -4.560275E-02,    -4.800031E-03,    -6.047965E-04,    -1.300640E-04,    -5.983311E-05,    -4.009876E-05,    -2.917525E-05,
  1.800000E+01,     1.470662E-09,    -2.837658E-03,    -3.876336E-02,    -2.159979E-01,    -5.551642E-02,    -5.875739E-03,    -7.191580E-04,    -1.431701E-04,    -6.139148E-05,    -4.031788E-05,    -2.926247E-05,
  1.850000E+01,     1.470662E-09,    -2.258772E-03,    -3.165535E-02,    -2.076146E-01,    -6.723796E-02,    -7.197536E-03,    -8.591851E-04,    -1.591987E-04,    -6.330412E-05,    -4.057036E-05,    -2.933900E-05,
  1.900000E+01,     1.470662E-09,    -1.789782E-03,    -2.588834E-02,    -1.932696E-01,    -8.089693E-02,    -8.820654E-03,    -1.030610E-03,    -1.787865E-04,    -6.565488E-05,    -4.087266E-05,    -2.941105E-05,
  1.950000E+01,     1.470662E-09,    -1.410940E-03,    -2.121285E-02,    -1.747689E-01,    -9.651289E-02,    -1.081208E-02,    -1.240449E-03,    -2.027045E-04,    -6.854239E-05,    -4.124281E-05,    -2.948501E-05,
  2.000000E+01,     1.470662E-09,    -1.106151E-03,    -1.742062E-02,    -1.541293E-01,    -1.139237E-01,    -1.325267E-02,    -1.497290E-03,    -2.318879E-04,    -7.208333E-05,    -4.170072E-05,    -2.956739E-05,
  2.050000E+01,     1.470662E-09,    -8.621770E-04,    -1.434095E-02,    -1.331534E-01,    -1.327013E-01,    -1.623931E-02,    -1.811652E-03,    -2.674724E-04,    -7.641645E-05,    -4.226867E-05,    -2.966483E-05,
  2.100000E+01,     1.470662E-09,    -6.680067E-04,    -1.183550E-02,    -1.131818E-01,    -1.520722E-01,    -1.988711E-02,    -2.196413E-03,    -3.108395E-04,    -8.170739E-05,    -4.297175E-05,    -2.978416E-05,
  2.150000E+01,     1.470662E-09,    -5.144153E-04,    -9.792925E-03,    -9.503985E-02,    -1.708751E-01,    -2.433103E-02,    -2.667340E-03,    -3.636706E-04,    -8.815474E-05,    -4.383863E-05,    -2.993243E-05,
  2.200000E+01,     1.470662E-09,    -3.936686E-04,    -8.123917E-03,    -7.911138E-02,    -1.876029E-01,    -2.972664E-02,    -3.243733E-03,    -4.280144E-04,    -9.599724E-05,    -4.490234E-05,    -3.011696E-05,
  2.250000E+01,     1.470662E-09,    -2.993208E-04,    -6.756928E-03,    -6.546432E-02,    -2.005711E-01,    -3.624874E-02,    -3.949197E-03,    -5.063684E-04,    -1.055227E-04,    -4.620132E-05,    -3.034550E-05,
  2.300000E+01,     1.470662E-09,    -2.260514E-04,    -5.634610E-03,    -5.397262E-02,    -2.082199E-01,    -4.408663E-02,    -4.812584E-03,    -6.017795E-04,    -1.170787E-04,    -4.778066E-05,    -3.062635E-05,
  2.350000E+01,     1.470662E-09,    -1.695132E-04,    -4.710923E-03,    -4.441111E-02,    -2.094876E-01,    -5.343378E-02,    -5.869107E-03,    -7.179659E-04,    -1.310857E-04,    -4.969366E-05,    -3.096854E-05,
  2.400000E+01,     1.470662E-09,    -1.261827E-04,    -3.948820E-03,    -3.651910E-02,    -2.041203E-01,    -6.446897E-02,    -7.161671E-03,    -8.594679E-04,    -1.480534E-04,    -5.200367E-05,    -3.138205E-05,
  2.450000E+01,     1.470662E-09,    -9.321823E-05,    -3.318419E-03,    -3.003811E-02,    -1.927739E-01,    -7.732559E-02,    -8.742421E-03,    -1.031831E-03,    -1.685995E-04,    -5.478631E-05,    -3.187813E-05,
  2.500000E+01,     1.470662E-09,    -6.833601E-05,    -2.795560E-03,    -2.473143E-02,    -1.768454E-01,    -9.204566E-02,    -1.067452E-02,    -1.241830E-03,    -1.934740E-04,    -5.813225E-05,    -3.246958E-05,
  2.550000E+01,     1.470662E-09,    -4.970676E-05,    -2.360671E-03,    -2.039214E-02,    -1.581071E-01,    -1.085173E-01,    -1.303410E-02,    -1.497746E-03,    -2.235877E-04,    -6.215045E-05,    -3.317123E-05,
  2.600000E+01,     1.470662E-09,    -3.587342E-05,    -1.997882E-03,    -1.684463E-02,    -1.383039E-01,    -1.263985E-01,    -1.591242E-02,    -1.809699E-03,    -2.600479E-04,    -6.697217E-05,    -3.400038E-05,
  2.650000E+01,     1.470662E-09,    -2.568493E-05,    -1.694317E-03,    -1.394263E-02,    -1.188611E-01,    -1.450412E-01,    -1.941785E-02,    -2.190058E-03,    -3.042007E-04,    -7.275578E-05,    -3.497745E-05,
  2.700000E+01,     1.470662E-09,    -1.824140E-05,    -1.439531E-03,    -1.156582E-02,    -1.007585E-01,    -1.634401E-01,    -2.367761E-02,    -2.653945E-03,    -3.576841E-04,    -7.969263E-05,    -3.612667E-05,
  2.750000E+01,     1.470662E-09,    -1.284722E-05,    -1.225049E-03,    -9.616000E-03,    -8.454468E-02,    -1.802480E-01,    -2.883866E-02,    -3.219834E-03,    -4.224916E-04,    -8.801413E-05,    -3.747694E-05,
  2.800000E+01,     1.470662E-09,    -8.970468E-06,    -1.044000E-03,    -8.013405E-03,    -7.042729E-02,    -1.938973E-01,    -3.506681E-02,    -3.910294E-03,    -5.010510E-04,    -9.800030E-05,    -3.906290E-05,
  2.850000E+01,     1.470662E-09,    -6.208211E-06,    -8.908010E-04,    -6.693434E-03,    -5.838361E-02,    -2.028484E-01,    -4.254288E-02,    -4.752869E-03,    -5.963193E-04,    -1.099903E-04,    -4.092617E-05,
  2.900000E+01,     1.470662E-09,    -4.257703E-06,    -7.609093E-04,    -5.603826E-03,    -4.825678E-02,    -2.059262E-01,    -5.145394E-02,    -5.781143E-03,    -7.119007E-04,    -1.243949E-04,    -4.311683E-05,
  2.950000E+01,     1.470662E-09,    -2.893195E-06,    -6.506082E-04,    -4.702312E-03,    -3.982677E-02,    -2.026385E-01,    -6.197706E-02,    -7.035999E-03,    -8.521888E-04,    -1.417121E-04,    -4.569527E-05,
  3.000000E+01,     1.470662E-09,    -1.947688E-06,    -5.568375E-04,    -3.954682E-03,    -3.285619E-02,    -1.933412E-01,    -7.425233E-02,    -8.567089E-03,    -1.022542E-03,    -1.625459E-04,    -4.873433E-05,
  3.050000E+01,     1.470662E-09,    -1.298779E-06,    -4.770567E-04,    -3.333217E-03,    -2.711674E-02,    -1.791602E-01,    -8.834201E-02,    -1.043454E-02,    -1.229499E-03,    -1.876286E-04,    -5.232199E-05,
  3.100000E+01,     1.470662E-09,    -8.576826E-07,    -4.091372E-04,    -2.815423E-03,    -2.240234E-02,    -1.616981E-01,    -1.041737E-01,    -1.271083E-02,    -1.481038E-03,    -2.178492E-04,    -5.656450E-05,
  3.150000E+01,     1.470662E-09,    -5.607229E-07,    -3.512801E-04,    -2.383014E-03,    -1.853399E-02,    -1.426554E-01,    -1.214696E-01,    -1.548284E-02,    -1.786898E-03,    -2.542867E-04,    -6.159025E-05,
  3.200000E+01,     1.470662E-09,    -3.627497E-07,    -3.019547E-04,    -2.021092E-03,    -1.536008E-02,    -1.235132E-01,    -1.396718E-01,    -1.885388E-02,    -2.158970E-03,    -2.982518E-04,    -6.755443E-05,
  3.250000E+01,     1.470662E-09,    -2.320940E-07,    -2.598543E-04,    -1.717497E-03,    -1.275426E-02,    -1.053603E-01,    -1.578852E-01,    -2.294545E-02,    -2.611772E-03,    -3.513368E-04,    -7.464464E-05,
  3.300000E+01,     1.470662E-09,    -1.467658E-07,    -2.238624E-04,    -1.462278E-03,    -1.061235E-02,    -8.886457E-02,    -1.748736E-01,    -2.789826E-02,    -3.163029E-03,    -4.154773E-04,    -8.308775E-05,
  3.350000E+01,     1.470662E-09,    -9.164356E-08,    -1.930286E-04,    -1.247275E-03,    -8.849062E-03,    -7.433697E-02,    -1.891495E-01,    -3.387181E-02,    -3.834371E-03,    -4.930268E-04,    -9.315813E-05,
  3.400000E+01,     1.470662E-09,    -5.643125E-08,    -1.665493E-04,    -1.065780E-03,    -7.394864E-03,    -6.183135E-02,    -1.991841E-01,    -4.104125E-02,    -4.652183E-03,    -5.868492E-04,    -1.051878E-04,
  3.450000E+01,     1.470662E-09,    -3.419276E-08,    -1.437499E-04,    -9.122652E-04,    -6.193215E-03,    -5.124145E-02,    -2.037164E-01,    -4.958996E-02,    -5.648620E-03,    -7.004300E-04,    -1.195783E-04,
  3.500000E+01,     1.470662E-09,    -2.030949E-08,    -1.240697E-04,    -7.821670E-04,    -5.198187E-03,    -4.237687E-02,    -2.020759E-01,    -5.969526E-02,    -6.862809E-03,    -8.380137E-04,    -1.368162E-04,
  3.550000E+01,     1.470662E-09,    -1.174372E-08,    -1.070456E-04,    -6.717063E-04,    -4.372478E-03,    -3.501501E-02,    -1.943907E-01,    -7.150437E-02,    -8.342267E-03,    -1.004771E-03,    -1.574902E-04,
  3.600000E+01,     1.470662E-09,    -6.522499E-09,    -9.229737E-05,    -5.777480E-04,    -3.685775E-03,    -2.893277E-02,    -1.815759E-01,    -8.509742E-02,    -1.014454E-02,    -1.207006E-03,    -1.823139E-04,
  3.650000E+01,     1.470662E-09,    -3.380103E-09,    -7.951204E-05,    -4.976847E-04,    -3.113419E-03,    -2.392355E-02,    -1.650991E-01,    -1.004350E-01,    -1.233902E-02,    -1.452402E-03,    -2.121518E-04,
  3.700000E+01,     1.470662E-09,    -1.514182E-09,    -6.843066E-05,    -4.293436E-04,    -2.635323E-03,    -1.980485E-02,    -1.466227E-01,    -1.172915E-01,    -1.500897E-02,    -1.750333E-03,    -2.480524E-04,
  3.750000E+01,     1.470662E-09,    -4.221152E-10,    -5.883589E-05,    -3.709099E-04,    -2.235094E-03,    -1.642019E-02,    -1.276713E-01,    -1.351814E-01,    -1.825351E-02,    -2.112234E-03,    -2.912875E-04,
  3.800000E+01,     1.470662E-09,     2.071310E-10,    -5.054196E-05,    -3.208650E-04,    -1.899332E-03,    -1.363798E-02,    -1.094228E-01,    -1.532973E-01,    -2.218944E-02,    -2.552058E-03,    -3.434003E-04,
  3.850000E+01,     1.470662E-09,     5.635424E-10,    -4.338690E-05,    -2.779357E-04,    -1.617058E-03,    -1.134901E-02,    -9.264406E-02,    -1.704917E-01,    -2.695246E-02,    -3.086831E-03,    -4.062650E-04,
  3.900000E+01,     1.470662E-09,     7.615764E-10,    -3.722700E-05,    -2.410522E-04,    -1.379261E-03,    -9.463409E-03,    -7.773237E-02,    -1.853418E-01,    -3.269705E-02,    -3.737322E-03,    -4.821585E-04,
  3.950000E+01,     1.470662E-09,     8.692005E-10,    -3.193324E-05,    -2.093147E-04,    -1.178529E-03,    -7.907606E-03,    -6.480595E-02,    -1.963286E-01,    -3.959401E-02,    -4.528858E-03,    -5.738482E-04,
  4.000000E+01,     1.470662E-09,     9.261810E-10,    -2.738935E-05,    -1.819643E-04,    -1.008750E-03,    -6.621601E-03,    -5.380077E-02,    -2.021224E-01,    -4.782413E-02,    -5.492296E-03,    -6.846999E-04,
  4.050000E+01,     1.470662E-09,     9.554213E-10,    -2.349094E-05,    -1.583608E-04,    -8.648750E-04,    -5.556533E-03,    -4.455074E-02,    -2.019065E-01,    -5.756554E-02,    -6.665185E-03,    -8.188091E-04,
  4.100000E+01,     1.470662E-09,     9.698792E-10,    -2.014515E-05,    -1.379625E-04,    -7.427242E-04,    -4.672644E-03,    -3.684490E-02,    -1.956174E-01,    -6.897218E-02,    -8.093130E-03,    -9.811617E-04,
  4.150000E+01,     1.470662E-09,     9.767217E-10,    -1.727059E-05,    -1.203108E-04,    -6.388285E-04,    -3.937574E-03,    -3.046359E-02,    -1.839883E-01,    -8.213995E-02,    -9.831376E-03,    -1.177831E-03,
  4.200000E+01,     1.470662E-09,     9.798004E-10,    -1.479705E-05,    -1.050166E-04,    -5.503034E-04,    -3.324969E-03,    -2.519895E-02,    -1.683651E-01,    -9.705806E-02,    -1.194660E-02,    -1.416217E-03,
  4.250000E+01,     1.470662E-09,     9.811077E-10,    -1.266502E-05,    -9.174948E-05,    -4.747455E-04,    -2.813338E-03,    -2.086476E-02,    -1.503721E-01,    -1.135456E-01,    -1.451884E-02,    -1.705343E-03,
  4.300000E+01,     1.470662E-09,     9.816281E-10,    -1.082472E-05,    -8.022800E-05,    -4.101477E-04,    -2.385133E-03,    -1.729980E-02,    -1.315689E-01,    -1.311792E-01,    -1.764357E-02,    -2.056210E-03,
  4.350000E+01,     1.470662E-09,     9.818208E-10,    -9.235004E-06,    -7.021226E-05,    -3.548308E-04,    -2.025998E-03,    -1.436757E-02,    -1.132109E-01,    -1.492271E-01,    -2.143347E-02,    -2.482238E-03,
  4.400000E+01,     1.470662E-09,     9.818868E-10,    -7.861933E-06,    -6.149727E-05,    -3.073870E-04,    -1.724170E-03,    -1.195422E-02,    -9.615405E-02,    -1.666196E-01,    -2.601986E-02,    -2.999796E-03,
  4.450000E+01,     1.470662E-09,     9.819077E-10,    -6.677399E-06,    -5.390750E-05,    -2.666336E-04,    -1.469989E-03,    -9.965710E-03,    -8.087418E-02,    -1.819924E-01,    -3.155286E-02,    -3.628848E-03,
  4.500000E+01,     1.470662E-09,     9.819137E-10,    -5.657792E-06,    -4.729233E-05,    -2.315754E-04,    -1.255508E-03,    -8.324864E-03,    -6.754860E-02,    -1.938395E-01,    -3.819956E-02,    -4.393738E-03,
  4.550000E+01,     1.470662E-09,     9.819152E-10,    -4.782863E-06,    -4.152218E-05,    -2.013731E-04,    -1.074173E-03,    -6.968601E-03,    -5.615205E-02,    -2.007763E-01,    -4.613852E-02,    -5.324120E-03,
  4.600000E+01,     1.470662E-09,     9.819156E-10,    -4.034847E-06,    -3.648538E-05,    -1.753180E-04,    -9.205709E-04,    -5.845477E-03,    -4.654064E-02,    -2.018606E-01,    -5.554870E-02,    -6.456087E-03,
  4.650000E+01,     1.470662E-09,     9.819156E-10,    -3.397833E-06,    -3.208547E-05,    -1.528101E-04,    -7.902185E-04,    -4.913583E-03,    -3.851377E-02,    -1.968578E-01,    -6.659000E-02,    -7.833483E-03,
  4.700000E+01,     1.470662E-09,     9.819156E-10,    -2.857382E-06,    -2.823898E-05,    -1.333409E-04,    -6.793969E-04,    -4.138783E-03,    -3.185459E-02,    -1.863330E-01,    -7.937224E-02,    -9.509443E-03,
  4.750000E+01,     1.470662E-09,     9.819156E-10,    -2.400338E-06,    -2.487359E-05,    -1.164786E-04,    -5.850140E-04,    -3.493258E-03,    -2.635365E-02,    -1.715137E-01,    -9.390992E-02,    -1.154814E-02,
  4.800000E+01,     1.470662E-09,     9.819156E-10,    -2.014769E-06,    -2.192654E-05,    -1.018562E-04,    -5.044936E-04,    -2.954315E-03,    -2.182094E-02,    -1.539811E-01,    -1.100618E-01,    -1.402669E-02,
  4.850000E+01,     1.470662E-09,     9.819156E-10,    -1.689970E-06,    -1.934338E-05,    -8.916077E-05,    -4.356853E-04,    -2.503419E-03,    -1.809055E-02,    -1.353213E-01,    -1.274599E-01,    -1.703719E-02,
  4.900000E+01,     1.470662E-09,     9.819156E-10,    -1.416494E-06,    -1.707683E-05,    -7.812545E-05,    -3.767902E-04,    -2.125405E-03,    -1.502122E-02,    -1.168597E-01,    -1.454412E-01,    -2.068859E-02,
  4.950000E+01,     1.470662E-09,     9.819156E-10,    -1.186152E-06,    -1.508587E-05,    -6.852223E-05,    -3.263006E-04,    -1.807844E-03,    -1.249464E-02,    -9.953544E-02,    -1.630078E-01,    -2.510816E-02,
  5.000000E+01,     1.470662E-09,     9.819156E-10,    -9.919737E-07,    -1.333495E-05,    -6.015598E-05,    -2.829506E-04,    -1.540534E-03,    -1.041280E-02,    -8.389988E-02,    -1.788525E-01,    -3.044206E-02,
  5.050000E+01,     1.470662E-09,     9.819156E-10,    -8.281280E-07,    -1.179326E-05,    -5.285952E-05,    -2.456752E-04,    -1.315077E-03,    -8.695110E-03,    -7.018770E-02,    -1.914874E-01,    -3.685385E-02,
  5.100000E+01,     1.470662E-09,     9.819156E-10,    -6.897964E-07,    -1.043415E-05,    -4.648935E-05,    -2.135767E-04,    -1.124554E-03,    -7.275582E-03,    -5.841174E-02,    -1.994852E-01,    -4.451999E-02,
  5.150000E+01,     1.470662E-09,     9.819156E-10,    -5.730262E-07,    -9.234617E-06,    -4.092219E-05,    -1.858972E-04,    -9.632470E-04,    -6.100355E-03,    -4.845002E-02,    -2.017935E-01,    -5.361997E-02,
  5.200000E+01,     1.470662E-09,     9.819156E-10,    -4.745749E-07,    -8.174777E-06,    -3.605196E-05,    -1.619957E-04,    -8.264242E-04,    -5.125518E-03,    -4.011223E-02,    -1.980209E-01,    -6.431882E-02,
  5.250000E+01,     1.470662E-09,     9.819156E-10,    -3.917614E-07,    -7.237490E-06,    -3.178728E-05,    -1.413290E-04,    -7.101604E-04,    -4.315286E-03,    -3.318431E-02,    -1.885704E-01,    -7.673867E-02,
  5.300000E+01,     1.470662E-09,     9.819156E-10,    -3.223369E-07,    -6.407961E-06,    -2.804931E-05,    -1.234362E-04,    -6.111930E-04,    -3.640491E-03,    -2.745524E-02,    -1.745491E-01,    -9.091654E-02,
  5.350000E+01,     1.470662E-09,     9.819156E-10,    -2.643812E-07,    -5.673402E-06,    -2.476999E-05,    -1.079255E-04,    -5.268049E-04,    -3.077333E-03,    -2.273125E-02,    -1.574874E-01,    -1.067470E-01,
  5.400000E+01,     1.470662E-09,     9.819156E-10,    -2.162266E-07,    -5.022742E-06,    -2.189046E-05,    -9.446312E-05,    -4.547286E-04,    -2.606374E-03,    -1.884182E-02,    -1.389889E-01,    -1.239129E-01,
  5.450000E+01,     1.470662E-09,     9.819156E-10,    -1.764068E-07,    -4.446356E-06,    -1.935977E-05,    -8.276476E-05,    -3.930682E-04,    -2.211710E-03,    -1.564098E-02,    -1.204420E-01,    -1.418148E-01,
  5.500000E+01,     1.470662E-09,     9.819156E-10,    -1.436259E-07,    -3.935843E-06,    -1.713375E-05,    -7.258742E-05,    -3.402352E-04,    -1.880311E-03,    -1.300604E-02,    -1.028658E-01,    -1.595236E-01,
  5.550000E+01,     1.470662E-09,     9.819156E-10,    -1.167409E-07,    -3.483831E-06,    -1.517412E-05,    -6.372334E-05,    -2.948965E-04,    -1.601479E-03,    -1.083510E-02,    -8.688615E-02,    -1.757899E-01,
  5.600000E+01,     1.470662E-09,     9.819156E-10,    -9.475273E-08,    -3.083812E-06,    -1.344761E-05,    -5.599454E-05,    -2.559310E-04,    -1.366415E-03,    -9.044192E-03,    -7.279548E-02,    -1.891498E-01,
  5.650000E+01,     1.470662E-09,     9.819156E-10,    -7.679950E-08,    -2.730007E-06,    -1.192530E-05,    -4.924840E-05,    -2.223941E-04,    -1.167866E-03,    -7.564523E-03,    -6.064566E-02,    -1.981444E-01,
  5.700000E+01,     1.470662E-09,     9.819156E-10,    -6.214979E-08,    -2.417260E-06,    -1.058202E-05,    -4.335384E-05,    -1.934887E-04,    -9.998446E-04,    -6.339870E-03,    -5.033750E-02,    -2.016250E-01,
  5.750000E+01,     1.470662E-09,     9.819156E-10,    -5.019330E-08,    -2.140948E-06,    -9.395844E-06,    -3.819810E-05,    -1.685409E-04,    -8.573954E-04,    -5.324377E-03,    -4.169164E-02,    -1.990536E-01,
